	Scan	Voltage (mV)	Current (A)
123	0	-8.697509765625	-8.106232655791361e-11
124	0	-8.3770751953125	-8.821488478361187e-11
125	0	-8.0108642578125	-8.165837307672179e-11
126	0	-7.6904296875	-8.642674522718731e-11
127	0	-7.3699951171875	-8.344651263314636e-11
128	0	-7.049560546875	-9.298325693407737e-11
129	0	-6.683349609375	-8.821488478361187e-11
130	0	-6.3629150390625	-8.940697782122824e-11
131	0	-6.04248046875	-8.106232655791361e-11
132	0	-5.7220458984375	-9.059907085884462e-11
133	0	-5.3558349609375	-8.404255915195455e-11
134	0	-5.035400390625	-9.596348952811832e-11
135	0	-4.7149658203125	-7.748604744506448e-11
136	0	-4.39453125	-8.523465218957092e-11
137	0	-4.0283203125	-8.523465218957092e-11
138	0	-3.7078857421875	-9.477139649050194e-11
139	0	-3.387451171875	-8.404255915195455e-11
140	0	-3.021240234375	-9.953976864096744e-11
141	0	-2.7008056640625	-7.927418700148905e-11
142	0	-2.38037109375	-8.761883826480368e-11
143	0	-2.0599365234375	-8.940697782122824e-11
144	0	-1.6937255859375	-9.953976864096744e-11
145	0	-1.373291015625	-7.689000092625629e-11
146	0	-1.0528564453125	-9.775162908454288e-11
147	0	-0.732421875	-7.569790788863991e-11
148	0	-0.3662109375	-1.0073186167858382e-10
149	0	-0.0457763671875	-8.165837307672179e-11
150	0	0.274658203125	-1.0550023382904933e-10
151	0	0.5950927734375	-7.987023352029723e-11
152	0	0.9613037109375	-9.953976864096744e-11
153	0	1.28173828125	-7.212162877579079e-11
154	0	1.6021728515625	-9.655953604692652e-11
155	0	1.9683837890625	-7.15255822569826e-11
156	0	2.288818359375	-9.894372212215925e-11
157	0	2.6092529296875	-7.212162877579079e-11
158	0	2.9296875	-1.0371209427262476e-10
159	0	3.2958984375	-6.794930314413347e-11
160	0	3.6163330078125	-8.881093130242006e-11
161	0	3.936767578125	-7.748604744506448e-11
162	0	4.2572021484375	-9.119511737765281e-11
163	0	4.6234130859375	-7.390976833221534e-11
164	0	4.94384765625	-9.596348952811832e-11
165	0	5.2642822265625	-6.377697751247615e-11
166	0	5.584716796875	-9.238721041526918e-11
167	0	5.950927734375	-7.987023352029723e-11
168	0	6.2713623046875	-9.417534997169375e-11
169	0	6.591796875	-7.510186136983171e-11
170	0	6.9580078125	-9.417534997169375e-11
171	0	7.2784423828125	-8.106232655791361e-11
172	0	7.598876953125	-9.417534997169375e-11
173	0	7.9193115234375	-7.450581485102353e-11
174	0	8.2855224609375	-9.298325693407737e-11
175	0	8.60595703125	-8.642674522718731e-11
176	0	8.9263916015625	-8.940697782122824e-11
177	0	9.246826171875	-7.748604744506448e-11
178	0	9.613037109375	-9.298325693407737e-11
179	0	9.9334716796875	-8.165837307672179e-11
180	0	10.25390625	-9.298325693407737e-11
181	0	10.5743408203125	-7.987023352029723e-11
182	0	10.9405517578125	-9.357930345288557e-11
183	0	11.260986328125	-8.344651263314636e-11
184	0	11.5814208984375	-9.417534997169375e-11
185	0	11.9476318359375	-7.748604744506448e-11
186	0	12.26806640625	-8.523465218957092e-11
187	0	12.5885009765625	-7.569790788863991e-11
188	0	12.908935546875	-9.596348952811832e-11
189	0	13.275146484375	-8.344651263314636e-11
190	0	13.5955810546875	-9.119511737765281e-11
191	0	13.916015625	-7.510186136983171e-11
192	0	14.2364501953125	-7.987023352029723e-11
193	0	14.6026611328125	-7.927418700148905e-11
194	0	14.923095703125	-8.821488478361187e-11
195	0	15.2435302734375	-8.940697782122824e-11
196	0	15.56396484375	-8.344651263314636e-11
197	0	15.93017578125	-8.106232655791361e-11
